Feature,Importance
reserve_margin_pct,0.2123706114072267
total_demand_mw,0.1455292815915674
residential_load_mw,0.11353771669104565
conventional_generation_mw,0.08692866618561428
demand_lag_168h,0.08333300137400244
commercial_load_mw,0.05307461343053808
industrial_load_mw,0.03605158443680772
demand_lag_24h,0.028948451034809454
electricity_price_eur_mwh,0.021894215323843894
hour,0.01496942503287373
solar_irradiance_wm2,0.014654488921305745
solar_generation_mw,0.014113759273817923
demand_rolling_mean_24h,0.012857324782498939
carbon_price_eur_ton,0.01185309542445486
renewable_generation_mw,0.01168311771000687
price_volatility_index,0.010497496342907938
fuel_price_gas_eur_mwh,0.010421255521570184
temperature_C,0.010342440118685552
wind_speed_ms,0.009905285243801375
cloud_cover_pct,0.00989827921302742
day_of_year,0.009715933919863792
humidity_pct,0.009638374444379379
fuel_price_coal_eur_mwh,0.009545548384250261
grid_frequency_hz,0.009413627309403793
wind_generation_mw,0.008856327296321029
day,0.00872526096102567
is_weekend,0.005597793563165856
day_of_week,0.005533407484255806
criticality_score,0.004690130401961095
month,0.0036168335387464293
year,0.003271116527599345
feeder_id_FDR_10,0.0009364008744326794
is_holiday,0.0008905066523873951
feeder_id_FDR_05,0.0007800278097620098
feeder_id_FDR_06,0.0007089466239413346
feeder_id_FDR_04,0.0006657557358356547
feeder_id_FDR_09,0.0006467565578625839
feeder_id_FDR_07,0.0006403099702401756
feeder_id_FDR_08,0.0006243551689635933
feeder_id_FDR_03,0.0006051928519608493
season_Spring,0.0006002155473464683
feeder_id_FDR_02,0.0005304865556671
season_Winter,0.0004934586236738788
season_Summer,0.0004091241365474851
